Category,Question,Answer
Science & Nature,"More than one million stray dogs and over 500,000 stray cats live in the __________",New york city
History & Holidays,What sort weapon was used in The Shining,An Axe
General,What was the distress call before SOS,CQD - come quick danger
General,What 19th century explorer translated the Kama Sutra,Sir Richard Burton
General,Who was the daughter of Mary Wollstonecraft & William Godwin,Mary shelley
General,What star sign is Harry Potter,Leo
Music,What Was Elvis Presleys Middle Name,Aaron
General,Name of the Roman hippodrome used for chariot races,Circus Maximus
General,What is the basic flavouring of kahlua,Coffee
General,In what does a steganographer write messages,Invisible ink
General,What is the international telphone dialing code for Antarctica,672
Science & Nature,What word is used for a male duck,Drake
General,Ondinism is arousal from what,Urine
People & Places,Who Was Eric Sykes On Screen Sister,Hattie Jaques
General,Where is the world's largest desert,North africa
General,"Widely used designation in the United States, Canada, and several other countries for the association of more than 2000 community-based organizations that work to meet local health and human-care needs",United Way
General,The book called 'the cocktail party' was written by _________,Ts eliott
General,"On a human body, hair grows out of pits in the skin. What are these pits called",Follicles
General,Little Jumping Flea literal trans of what Hawaiian instrument,Ukulele
Art & Literature,What Is The Surname Of Cathy In Wuthering Heights,Earnshaw
General,Which singers first band was called The Spiders,Alice Cooper
General,What meat outsells mutton and lamb combined in Sweden,Horse meat
General,Who is the Patron Saint of Grave diggers,St Anthony
General,What is the many- legged mythological sea creature of Scandinavia,Kraken
General,A pugilist is a _____.,Boxer
General,John Chapman was the real name of someone famous in Ohio?,Johnny Appleseed
General,Melophobia is the fear of,Music
General,Dish what is the thread used in surgery to tie a bleeding blood vessel,Ligature
General,What is the Capital of: Turks and Caicos Islands,Grand turk
General,In Shakespeare who is Romeos love - before Juliet,Rosaline
General,What is the clarified butter used in Indian cuisine,Ghee
General,Legal Terms: A formal agreement enforceable by law.,Contract
General,Which eponymous character was Thane of Cawder Glaimes,Macbeth
General,Marconi transmitted radio signals across which ocean,Atlantic ocean
General,Legal Terms: To steal property entrusted to one's care.,Embezzle
Language,What does SOS stand for,Save Our Souls
General,The earliest recorded one held 1887 Sheen House Richmond ?,Motorcycle Race
Geography,What is the basic unit of currency for Benin ?,Franc
General,What would you do with a wandering sailor,"Plant it, it’s a plant"
General,"Where did you play with Ben, Pauline and Michele",Microsoft Windows Hearts game
General,"If you left Oklahoma by crossing the Red river in a southerly direction, which American state would you enter",Texas
General,Who Was The Last British Player To Win A Singles Title At Wimbledon?,Virginia Wade In 1977
General,Lucknow is a city in India - and what other country,Canada
General,"What woman is the wife of prince phillip, the mother of anne, andrew, charles and edward, and the daughter of george vi",Elizabeth ii
General,What name is given to a countries song played on official occasions,National anthem
History & Holidays,"When is the Feast of St. Nicholas? Dec 6th, Dec 18th, Dec 25th, Dec 27th",Dec 6th
Sports & Leisure,Who Has A Best Friend who is known to his close pals as Five Bellies,Paul Gascoigne
General,Duffy: The Good Earth,Buck
General,What is the southernmost country on the Balkan peninsula,Greece
Science & Nature,Which colour has highest wavelength in the visible spectrum?,Red
General,Who's Best of Album is called Paint the Sky With Stars,Enya
General,Which fictional character lived at Montague street before moving,Sherlock Holmes
General,Who sailed in the Nina - Pinta and Santa Maria,Christopher Columbus
General,In which language was the poem 'Beowulf' written,Old english
General,Where is the Nep stadium,Budapest
Science & Nature,"What nationality is Erno Rubik,inventor of the 80's craze the Rubik's Cube?",Hungarian
General,The Invisible Empire is better known as what,Klu Klux Klan
General,Which musical was based on H.G.Wells' novel 'Kipps',Half a sixpence
General,The Lambada dance originated in which country?,Brazil
General,Three under par on a hole of golf is called a(n) __________,Albatross
General,"This artist cut off his ear & sent it to his lover, before shooting himself dead in a cornfield",Vincent van gogh
General,What is the flower that stands for: be mine,Four-leaved clover
General,Legend says tortellini was created to honour what part of Venus,Her belly button
General,Myosotis Sylvestris is the Latin name of which common plant,Forget me Not
General,Camellia Sinesis evergreen shrub better known as what,Tea
Geography,Where Is The Original London Bridge Now Situated,At Lake Havasu Arizona
Music,The Heartbreakers Backed Which American Singer?,Tom Petty
General,"A flat, round hat sometimes worn by soldiers is a _________.",Beret
People & Places,In Which UK City Was Dick Turpin Hanged?,York
General,Who designed the uniforms for the vatican city's swiss guards,Michelangelo
General,A kipper is what type of smoked fish,Herring
Food & Drink,From Which Fruit Was Marmalade Orginally Made,Quinces
Music,Name The 2 Members Of Wham,George Michael & Andrew Ridegley
General,Who was the tallest man,Robert wadlow
General,Nervous as a long tailed cat in a room full of ______,Rocking chairs
Music,Who were the original four members of the pop group Genesis? Point for each,"Peter Gabriel,Phil Collins, Mike Rutherford & Tony Banks"
General,Who had a hit in the UK singing about the Streets of London,Ralph McTell
General,What was the last item shown on British TV before WW2,Mickey Mouse
General,What's the state bird of utah,Sea gull
General,What is the royal house of Monaco,Grimaldi
General,Daysypgal people suffer from what,Hairy Arse
General,Why did certain busses in Staffordshire refuse to pick up people,Keeping to schedule
Religion & Mythology,Who is the Norse god of thunder and war?,Thor
General,Artemis is Greek Goddess of what - only one among all Gods,Virginity and Chastity
Science & Nature,Which Astronaut piloted Apollo 11 while Armstrong and Aldrin walked on the moon,Michael Collins
Geography,What country are the Islands of Quemoy and Matsu part of?,Taiwan
General,In The Austin Powers Movies What Is The First Name Of Austin Powers Arch Enemy Dr. Evil,Dougie
Sports & Leisure,"Is The Oaks Race , A Race For Colts Or Fillies",Fillies
General,"In which constellation is the night's brightest star, Sirius",Canis major
General,"Name of the ""cow town"" Joseph McCoy developed in the 1860s",Abaline
Science & Nature,Quinine is added to water to make _______.,Tonic water
General,Most Jell-o contains crushed what,Hooves
General,"What late television commentator closed with ""good night and good luck""",Edward r murrow
General,Who was the Greek philosopher who decided he'd rather drink hemlock than deny his beliefs,Socrates
General,Who wrote Tropic of Cancer and Tropic of Capricorn,Henry miller
General,The gluteus maximus muscle is the bulk of the,Buttock ass butt
Religion & Mythology,Who was the ancient Egyptian goddess of the sky and queen of heaven ?,Hathor
General,"Mauna Loa, Paricutin, Surtsey and Susya are all what",Volcanoes
General,How much do nine pennies weigh?,One ounce
General,What is the young of this animal called: Rabbit,Bunny kit
General,How did Alfred Nobel make his money,He invented Dynamite
General,What is the geographic centre of the u.s,South dakota
General,In 1976 in USA 23 people got swine fever and died from what,The Treatment
General,The Washington Post received the 1973 Pulitzer prize for reporting what,Watergate scandal
Music,Who Enjoyed Chart Success In 1991 With Diamonds And Pearls?,Prince
General,Which American As Of 2010 Has Spent The Longest Term In Office,Franklin D Roosevelt
General,What teaching aid is made mainly from soft limestone,Chalk
General,What is pure china clay called?,Kaolin
Food & Drink,What is the French word for a cake shop?,Patisserie
Music,What Is The Only Song From Michael Jackson's Thriller Album To Reach The No.1 Spot?,Billie Jean
Music,"Which Timeless Vocalist Recorded The Album ""Private Collection"" In 1988",Cliff Richaqrd
General,34-40 knots wind speed signifies what weather condition,Gale
General,Dakar Is The Capital City Of Which Country,Senagal
Geography,Which state is divided into two parts by a large lake?,Michigan
History & Holidays,What rock magazine that came out in the eighties is now Rolling Stone's major competitor?,Spin
Music,What Single GaveThe Human League A Transatlantic Number One,Dont You Want Me Baby
General,Raleigh is the capital of ______,North carolina
General,Joseph Adams served as the minister at Newington for how many years,68
Science & Nature,"Toothed __________ whales live in extended family units that, for families, constitute life_long associations. They differ from baleen whales, which form only temporary bonds.",Sperm
General,Where does the Iditarod dog sled race take place,Alaska
General,"When using a telephone, you must wait for a ____ tone before starting your call",Dial
General,Who is christina claire ciminella,Wynonna judd
Entertainment,How many freckles did Howdy Doody have?,Forty eight
General,Margaret Herrick named it in 1931 what,The Oscar – looked like her uncle
Geography,What is the capital of Papua New Guinea ?,Port Moresby
General,"What philosopher stated ""Hell is other people""",Jean Paul Sarte
Science & Nature,In The 1933 Film Which Actress Is Held Aloft By King Kong,Fay Wray
Music,Whose Magnificent Bald Head Featured On The Cover Of His Hot Butterd Soul Album,Isaac Hayes
General,And what was his first US number one,Heartbreak Hotel
General,"Which Famous Person Was Born In Grantham, Linconshire On 13th October 1925",Margaret Thatcher
General,A crapulous person is full of it -  what,Alcohol - it means drunk
General,What do you call a female calf,Heifer
General,In the Chinese horoscope what animal comes last alphabetically,Tiger
General,Which Swiss town hosts the annual Golden Rose Television Festival,Montreux
General,A motorist who enjoys driving fast,Speed merchant
General,Which capital city stands near the delta of the Irrawaddy river,Rangoon
General,What makes a noise middle octave key of F,Housefly buzz
Sports & Leisure,Which annual race is 4 miles and 374 yards long,The Boat Race
History & Holidays,In what year did man first set foot on the moon,1969
General,"What was the British equivalent of ""We Are The World?""",Do They Know It's Christmas
Sports & Leisure,What Do The Opposite Sides Of A Standard Dice Always Total,7
General,"In english mythology, who caused the death of the lady of shallot",Sir
General,As what was Louis XIV also known,Sun king
General,License plates: what's cheops's profession,Egyptologist
General,"In an isosceles triangle, if the two equal angles are 35 degrees, what is the third angle",110 degrees
General,Denmark Has Twice As Many “ What? ”Than It Does People?,Pigs
History & Holidays,Who caused outrage with the following quote 'We are more popular than Jesus now'' I don't know which will go first Rock n Roll or Christianity'',John Lennon
General,In Which US State Does The TV Show 'High School Musical' Take Place,New Mexico
Sports & Leisure,What Was Alex Ferguson's Team Before He Left To Manage Manchester United?,Aberdeen
General,What flavours root beer,Sarsaparilla
General,West Indian cricketer Laurence Rowe gave up 1976 mid test why,Allergic to Grass
Music,"With 12 Hits In This Era Only ""Silly Love"" Did Not Make The Top Ten For Which Group",10CC
General,We know what lasagne is - what is a lassagnum its named from,A Cooking Pot
General,Who was the eldest member of The Beatles,John lennon
General,Who wrote the Dune series of SF novels,Frank Herbert
Music,Which Beatles song was written by American Country singer Buck Owens?,Act Naturally
General,Who played richie cunningham in the tv show happy days,Ron howard
Entertainment,How does Wonder Woman control her invisible airplane,Mental powers
General,Which is the longest river in Mexico,Rio grande
General,In the Snoopy cartoons what does Lucy offer in her booth,Psychiatric help
History & Holidays,"In the movie 'Miracle on 34th Street', Kris Kringle is hired to play Santa Claus in what large department store?",Macys
General,"In logic, what is the form of reasoning by which a specific conclusion is inferred from one or more premises",Deduction
General,Something navicular is shaped like what,A Boat
General,Which modern city was once called Byzantium,Istanbul
General,Brave Belt was the original name of what group,Bachman Turner Overdrive
General,Which liqueur is added to Whisky to make a rusty nail cocktail?,Drambuie
General,Bibliophobia is a fear of _____.,Books
General,In what country would you dance The Sirtaki,Greece
General,What is a male sheep,Ram
General,What plane did Aerospatiale of France & the British Aircraft Corp. develop,The concord concord
General,"Where in the solar system would an observer see the ""Cassini's Division""",Rings of saturn
History & Holidays,Which London building was gutted by fire in November 1936?,The Crystal Palace
General,What is the latin word 'trivia' in english,A junction of three roads
General,The Algonquin Indians believed the earth was on what,Giant tortoise
General,In the Bolshoi ballet what does the word Bolshoi mean,Big
Science & Nature,What Base Are Hexadecimals,16
General,"Catlike leap in which one foot follows the other into the air, knees bent; the landing is in the fifth position.",Pas de chat
History & Holidays,England Opened Its First Nudist Beach In 1979 At Which Seaside Resort,Brighton
General,Pomona was the Roman Goddess of what,Fruit Trees
Music,"Who Wrote The Theme Song For The James Bond Movie ""Live & Let Die""",Paul McCartney
Music,"Janis Joplin Died In 1970, How Did She Die",From A Heroin Overdose
General,Menace What Disney film do Parisians know as Blanche Neige Aet les Sept Nains,Snow
Science & Nature,A __________ can squeeze through an opening no larger than a dime.,Rat
Food & Drink,Which Foodstuff Links Gary Lineker and The Spice Girls?,Walker 's Crisps
General,What is a young zebra called,Colt
General,Who recorded the original song 'the twist',The beatles
General,"The 1st U.S. federal holiday honoring Martin Luther King, jr. Was in what year",1986
Geography,He invented the most common projection for world maps.,Mercator
General,What is the name of the body part that separates the abdomen from the thorax?,Diaphragm
General,"Etna, Hekla and Popocate a petl are all types of what",Volcanoes
General,Who won the 2000 Booker prize,Margaret atwood
Art & Literature,Which Author Did Hitler Acclaim As The Phrophet Of Right Wing Authoritarianism,Nietzsche
General,What is the name of Porky Pigs father,Phineas Pig
Science & Nature,What does a camel store in its hump?,Fat
Science & Nature,Name the largest web-footed bird.,Albatross
Music,"Who Reached No.1 In 1962 With ""I Remember You""",Frank Ifield
General,"In The TV Show ""The Young Ones"" What Was The Name Of Viviens Pet Hamster",SPG (Special Patrol Group)
Science & Nature,What do you call a group of rhinocerus?,A Crash
General,What is a hajji,A pilgrim to mecca
General,What is the flower that stands for: revenge,Birdsfoot trefoil
General,"What are ""the four nightingales"" better known as",The marx brothers
Science & Nature,How Did Nylon Get It's Name,Developed In New York & London
Music,Who Duetted With Celine Dion On The 1997 Hit Tell Him,Barbara Streisand
General,Paul French George E Dale pseudonyms for what SF author,Isaac Asimov
General,What happened on screen for the first time in india in 1977,Screen kiss
Science & Nature,What are the units of measurement for Frequency ?,Hertz
General,Who returned to Britain in 2001 after 35 years on the run?,Ronnie Biggs
Geography,What is the capital of Morocco,Rabat
General,What does a panaphobe fear,Everything
General,The artist Abbott Thayer's developed what for military use,Camouflage colours
General,"QANTAS, the name of the airline, is an acronym for___",Queensland and northern territory aerial services
Science & Nature,What Killed Cleopatra,An Asp
General,In 1901 who first transmitted radio signals across Atlantic,Marconi
General,What Is The Oldest Inhabited City In The World,"Damascus, Syria"
General,Harvard college was founded in this year,1636
General,To what language is the gypsy romany language related,Sanskrit
History & Holidays,*What 70s television show launched the career of David Cassidy?*,The Partridge Family
General,What two time all big eight defensive back at Colorado won three U.S. Open golf titles,Hale irwin
General,In what state was the largest cavalry battle in the civil war,Virginia Brandy Station (20000 men)
General,"In which U.S. state is Quantico, home to an FBI training and research facility and a similar one for the Marine Corps",Maryland
General,On Which Fictitious Island Does Thomas The Tank Engine Operate,Sodor
Music,Why Did The Jackson 5 Change Their Name To The Jacksons When They Left Motown,Motown Owned The Name The Jackson 5
General,The Ngorogoro crater is in what Tanzanian National Park,Serengeti
General,Branch of science that applies physical principles to the study of the earth,Geophysics
General,18th century French dance,Gavotte
General,Which film won the best screenplay Oscar in 1970,MASH
General,Tuberculophobia is the fear of ______,Tuberculosis
General,Which animal sleeps on its back,Only man or women
History & Holidays,Which Lancs Town Has A Name That Means A Small Brass Wind Instrument Used For Summoning Witches & Warlocks,Oswaldtwistle
General,"Who was the first U.S. president to travel in a car, plane and submarine",Theodore roosevelt
General,"What larry niven character was known as the ""hindmost leader""",Nessus
Sports & Leisure,What Is The Sign Language Used By Bookies Known As,Tic Tac
People & Places,Who Invented The Electric Light Bulb,Thomas Edison
Food & Drink,Which Famous Wine Region Is Centred On Reims,Champagne
Music,"From the 1980’s, which song and which artist “Her weapons were her crystal eyes, Making every man a man, Black as the dark night she was, Got what no-one else had, Wa!”?",Bananarama / Venus
General,"In The World Of Music How Is ""James Jewel Osterberg"" Better Know",Iggy Pop
General,Apparatus that converts molecules into ions and then separates the ions according to their mass-to-charge ratio,Mass Spectrometer
Science & Nature,Which is the only animal other than humans that can get leprosy?,Armadillos
General,In heraldry a lybbard is a lion panther cross symbolising what,Wildness
Music,Sad Movies Norman & Some People Were All Hits For Which Early 60's Singer,Carol Deene
General,What is the Capital of: Ukraine,Kiev
General,"In norse mythology, who is brunhilda chief of",Valkyries
General,In the tv series 'happy days' what was arthur fonzarelli's nickname,The fonz
General,How many facets has a snowflake,Six
General,Harry Longbaugh became better known under what name,The Sundance Kid
Science & Nature,What Is The Most Common Colour Of A Great Dane?,Fawn
Tech & Video Games,Manjimaru is the main character of which game?,Kabuki Klash
History & Holidays,What is the traditional dessert in England on December 25?,Christmas Pudding
General,People answered the first telephones by saying what,Ahoy there
General,What is a group of this animal called: Boar,Sounder
General,In Korea what is ssirum,Sumo Wrestling
Sports & Leisure,Name Both The Start / Finish Points For The University Boat Race,Putney & Mortlake
General,What phrase is another way of saying covered in bruises,Black and blue
General,The Snake River lies entirely in which country?,USA
General,The araucaria has what more common name,The Monkey Puzzle tree
General,What is the value of pi to three decimal places?,3.142
General,Vanilla flavouring is derived from which flower,Orchid
Music,Who Did The New Yardbirds Become,Led Zeppelin
General,On what is the Mona Lisa painted,Wood
General,Name the cartoon that featured characters who had messages on their clothes to express their feelings.,Shirt Tales
General,The Beverley Hillbillies came from what Ozarks town,Hooterville
General,In Greek mythology who was Queen of the underworld,Persephone
History & Holidays,In which century was (The Black Death)?,Fourteenth
General,What is a group of this animal called: Sheep,Drove flock
Science & Nature,Prosthetics deals with the making of __________.,Artificial limbs
General,English ships carried limes protect scurvy what US ships carry,Cranberries
Music,What is Paul's middle name?,Paul
General,What happened to Laika first dog in space,Suffocated no air burned re-entry
General,Paris born Philippe Pages changed his name to what,Richard Clayderman
General,"What was first successfully tested in Alamogordo, New Mexico?",Atomic bomb
General,Vancover Island & British Columbia became one colony in,1866
General,When does a full moon rise,Sunset
History & Holidays,Which Sci-Fi Sitcom star like to eat cats?,Alf
General,What do ornithologists study,Birds
General,A primate called a Galago has what more common name,Bush Baby
General,Janis joplin started her career with which group backing her up,Big brother
General,Name the first ship from which Gulliver was shipwrecked in 'Gulliver's Travels',Antelope
General,"In 'dawson's creek', who does james van der beek play",Dawson leary
General,What is The Southern most Point Of The English Mainland?,Lizard Point / The Lizard
General,What was the name of the world's tallest man who still remains firmly entrenched in the Guinness Book of Records some 70 years plus after his death?,Robert Pershing Wadlow
General,What animal head appears on the badge of the RCMP,Bison
Science & Nature,How Many Colours Are The In A Rainbow,7
Geography,Into what sea does the Mackenzie River flow?,Beaufort Sea
General,"In the 'twelve days of christmas', how many items in total are sent by 'my true love'",78
General,"What boys' toy was introduced at the annual american international toy fair in new york on feb. 9, 1964",G.i joe
History & Holidays,"Which 1978 film starring Roger Moore, Richard Burton and Richard Harris, is a bout a group of British mercenaries in Central Africa",The Wild Geese
Art & Literature,Which Woman Had More Portarits Painted Of Her Thaan Anyone Else,Queen Elizabeth II
General,In which film did Elvis Presley sing the song 'Wooden Heart',G.i. blues
General,By what name is Salicylic Acid better known as?,Aspirin
General,"What creature can be Indian, white or broad lipped",Rhinoceros
General,Branch of mathematics that deals with the properties & relationships of numbers (number),Number theory
General,What is the lowest title handed down from father to son,Baronet
Music,"Cicane's 2000 No.1 Hit ""Dont Give Up"" Featured Which Rock Megastar",Bryan Adams
People & Places,Which Former Python Traavlled Round The World,Micheal Palin
General,Who Was The Very First Recipient Of The MALE Version Of The Rear Of The Year Award,Michael Barrymore
General,Who is the greek counterpart of mercury,Hermes
Geography,What is the capital of Turkmenistan,Ashkhabad
Food & Drink,"Ireland, the UK and Turkey rank first, second and third in the world in the consumption of what?",Tea
General,What is the second largest country in south america,Argentina
History & Holidays,Which county cricket ground can be found at St Johns Wood in London,Lords
General,When is a crepuscular animal active,Twilight
Sports & Leisure,What Did Eddie The Edwards Had To Have 2 Inches Taken Off His What When He Represented England At The 1988 Winter Olympics,His Chin
Sports & Leisure,Which football team lost both the 1998 and 1999 FA Cup Finals?,Newcastle United
General,In which novel is Phoebe Caulfield the hero's younger sister,Catcher in the rye
General,A Vigule or Solidus is what character,Slash / - not backslash
Food & Drink,What pastry is used to make Profittaroles,Choux
General,What is a sun dried grape,Raisin
General,Rhett Butler of Gone With the Wind was born where,Charleston
General,Where would one eat a taco,Mexico
General,"Who was the famous individual who originated the catch phrase ""Just Say No""",Nancy Reagan
Sports & Leisure,What Name Is Given To The Pitch On Which American Football Is Played,The Gridiron
General,In liquid measure a pipe is made up of two what,Hogsheads
Science & Nature,"Owing to the sound it makes, what is the alternative name for the Australian bird the Kookaburra?",The Laughing Jackass
General,What peter sellers movie did ringo starr appear in,Magic christian
General,What was the title of the novel which won the 1998 Booker prize,Amsterdam
Entertainment,In which James Bond film does the villain cheat at golf?,Goldfinger
General,Who won best actress for her role in darling,Julie christie
General,Who played the scarecrow in the Wiz (all black wiz of oz),Michael Jackson
Geography,Vilnius is the capital of which country?,Lithuania
General,What was the name of John Glens first orbiting craft,Friendship 7
General,"What are elementary particles originating in the sun and other stars, that continuously rain down on the earth",Cosmic rays
General,What is the name of a device used to stem the flow of blood,Tourniquet
General,This country consumes more coca cola per capita than any other.,Iceland
General,What is the currency of Venezuela?,Bolivar
General,Whos Woodstocks beagle buddy,Snoopy
General,Who became a genius whenever he put on the fabulous kurwood derby,Bullwinkle
Entertainment,Who played the role of Richard Blaine in Casablanca?,Humphrey Bogart
Art & Literature,Who wrote 'A Christmas Carol'?,Charles Dickens
Toys & Games,There are this many red_letter cubes in Perquackey.,3
General,Which of Henry VIII Wives Was Elizabeth I Mother,Anne Boleyn
General,Sterling Holloway was original voice of which Disney character,Winnie the Pooh
General,"What shape is a crystal of table salt a cube, oval or sphere",Cube
Entertainment,Which comic is drawn by Sam Keith?,The Maxx
Entertainment,Name Cathy's on again/off again boy friend,Irving
Sports & Leisure,Which English Race Course Is Overlooked By Trundle Hill?,Good Wood
General,James Drury starred in which TV western series,The Virginian
General,Name the book - first line - It was a pleasure to burn,Fahrenheit 451 Ray Bradbury
General,What is the 'x' on a railroad crossing,Crossbuck
Science & Nature,By what name is Lysergic acid diethylamide better known?,LSD
General,Who won the Tour de France 4 times 1961 to 1964,Jacques Anquetil
History & Holidays,"""Which popular Christmas song was actually written for Thanksgiving? (White Christmas, Jingle Bells, Silent Night, Away In A Manger"""" """,Jingle Bells
General,What are horseshoe crabs,Spiders and scorpions
General,What musical direction comes from the Italian meaning cheerful,Allegro
General,Satanophobia is the fear of,Satan
General,What is the popular name for the drug 'drinamyl',Purple hearts
History & Holidays,What were men conscripted to work down mines in World War Two usually known as?,Bevin Boys
Geography,Which rocky island group off the Northumberland coast is associated with Grace Darling and St Cuthbert,The Farne Isles
General,The World's First Motorway Was Opened In 1929. In What Country Did This Take Place ?,Italy
General,Whats the worlds second most spoken language,English
General,What yellow fossilized resin was used in jewellery by the greeks and romans,Amber
General,The average person has 1460 what each year,Dreams
General,What capital city does the liffey river flow through,Dublin
Music,The Legend Of Xanadu Reached No.1 In 1968 Who Sang It,"Dave, Dee, Dozy , Mick & Tich"
General,"Who, in the Bible, was taken up to heaven in a fiery chariot",Elisha elias
General,Edmonton is the capital of which province,Alberta
General,Who was the star of the film Bachelor Party?,Tom Hanks
History & Holidays,What Is The Star Sign Of A Person Born On Christmas Day,Capricorn
General,Which middle eastern country's official name is Al-Lubnan,Lebanon
General,Which of the Seven Wonders of the World was constructed by the sculptor Phidias about 430 B.C.,Statue of zeus
Science & Nature,"What Was The Name Of The Java Born Dutch Aircraft Manufactuerer who, During World War I, Produced More Than 40 Types Of Airplanes For The German High Command",Anthony Fokker
General,In Astrology what is the ruling planet of communication,Mercury
General,What is the provincial flower of Saskatchewan,Tiger lilly
General,In western palmistry the index finger is linked to which planet,Jupiter
General,What is the name of Beatrix Potter's fishing frog,Jeremy fisher
General,What waterway did Britain buy a share of in 1875,Suez canal
General,What is the sacred river of hinduism,Ganges
General,What event supposedly occurred in the Coenaculum or Cenacle,The Last Supper
General,"In a famous opera, what did siegfried understand after tasting dragon's blood",Bird's speech
Geography,On what island is Honolulu?,Oahu
Geography,What is the capital of Botswana ?,Gaborone
General,"In the movie Office Space, what item did Peter pull from the rubble?",A red stapler
General,What is Kumiss made from in Asia,Fermented Cows Milk
Science & Nature,Which Was The First International Airline To Launch A Sevice,Klm (London To Amsterdam)
General,What is the fear of string known as,Linonophobia
General,Which song won first Oscar when the category was intro 1934,The Continental
General,The average human produces how many quarts of spit in a lifetime,25000
General,"Who composed the opera ""The Rake's Progress""",Stravinsky
General,Who formed Microsoft with Bill Gates,Paul allen
General,What are the lime deposits hanging from the ceiling of a cave called,Stalactites
General,What countries presidents Yusof Bin Ishak and Wee Kim Wee,Singapore
General,With what are toadstools often confused,Mushrooms
General,What is the concave dish shape of a liquid inside a glass or tube,Meniscus
General,Conventionally middle class materialist,Bourgeois
General,What city is also known as beantown,Boston
Science & Nature,"""Scotch pine"", ""Douglas fir"", ""Noble fir"", ""Fraser fir"" are all commonly used as what?",Christmas trees
General,Whose girlfriend was Virginia Hill - he killed her B Hills 1947,Bugsy Siegel
General,What device converts alternating current into direct current,Rectifier
General,Gin Triple Sec (quantreau) and pineapple juice what cocktail,Aloha
General,What is a low layer of cloud called,A nimbostratus
General,Brewers at what time did the hiroshima bomb detonate,8:15 AM
General,Who had a number one hit in 1970 with In the Summertime,Mungo jerry
General,Tomography is a scanning technique which uses X-rays for photographing particular slices of the what,Body
General,In Texas it's illegal for what profession to be communists,Pharmacists
General,Americans use 16000 tons of what each year,Aspirin
Sports & Leisure,Which 2004 Darts Champion Is Known As The Viking?,Andy Fordham
General,What tennis star founded the magazine women's sports,Billie jean king
General,Lord Lovat was the last in England to do what,Be judicially beheaded
Science & Nature,What is the symbol for silver,Ag
General,Someone with firmly fixed opinions is said to be dyed in what,The wool
General,Jimmy stewart is driven by revenge in the movie _____?,Man who shot liberty valence
General,"What completed a journey of 19,500 miles with only three stops in August 1929",The graf zeppelin
Science & Nature,What Is The Phenomenon Called In Which Light Bends When Passing Through A Lens,Refraction
General,What mythical scottish town appears for one day every 100 years,Brigadoon
General,What was used for blood in the film 'psycho',Chocolate syrup
Geography,This country lost the largest percentage of its men in a single war (~70%).,Paraguay
General,What colour is named after a battle fought in Italy in 1859,Magenta
General,"Who once told Playboy magazine he ""committed adultry in his heart""",Jimmy carter
General,"Any animal lacking a vertebral column, or backbone",Invertebrate
General,What is the anatomical name for the bones of a human's fingers and toes,Phalanges
General,Which country did Chiang Kai-shek found in 1949,Taiwan
General,What is the highest mountain in Canada called,Mount logan
General,Ferdinand is a story about a ____,Bull
History & Holidays,"""What drink was adapted to become the American Christmas drink 'Egg Nog'? Scandanavian Drink Glogg , Austrian Drink Gluwein, French Drink """"Lait De Poule"""" The German Drink """"Biersuppe"""" """,The French Drink Lait De Poule
General,Traffic jam affecting a whole network of intersecting streets,Gridlock
General,In what Australian state would you find Moree,New south wales nsw
General,"In the movie ""Mall Rats"", What famous author was signing comic books?",Stan Lee
Entertainment,Which actor won Oscars twice for 'best male performance' in the '90s?,Tom Hanks
Entertainment,Who sang 'Jet Airliner'?,Steve Miller Band
Music,What Was The Stage Name Of Kajagoogoo's Chris Hamill,Limahl
Food & Drink,"What is a vitamin D deficiency called ? Seven letters, fifth letter is an 'E'",Rickets
General,St Helier Is The Capital Of Which Island,Jersey
Geography,In which state is Cape Hatteras?,North Carolina
Science & Nature,For what did Pieter Zeeman receive the Nobel prize in Physics?,Zeeman effect
History & Holidays,Which 50's Movie features the Line 'I always get the fuzzy end of the lollipop',Some Like it Hot
General,Who first used acupuncture,Emperor shen-nung
History & Holidays,How Old Was Margaret Thatcher When She Took Up The Role Of British Prime Minister In 1979,53
General,Which list did sarah ferguson make five times in people's magazine,Worst
General,As what were 'The Supremes' originally known,Primettes
General,What is magma,Hot molten rock
Geography,What's the oldest capital city in the americas,Mexico city
General,What is the term for the area in front of a fireplace,Hearth
General,By what more common name do we know Major Boothroyd,Q in the Bond films
Geography,Where is the Taj Mahal?,India
Music,Which Band Went “Dizzy” With Vic Reeves In 1991,The Wonder Stuff
General,Who played the part of Sam Malone in TV 's 'Cheers',Ted danson
General,Brussels is the capital of _______,Belgium
History & Holidays,In which 1988 film remake of 'A Christmas Carol'' does Bill Murray play a cynically selfish TV executive,Scrooged
General,What is the common name of the plant Pelargonium,Geranium
General,Which herb did the Romans eat top prevent drunkenness,Parsley
General,What is the fear of death or dying known as,Thanatophobia
Sports & Leisure,Basketball: The Utah ________.,Jazz
General,A dance involving high kicks,Cancan
General,Aretha franklin sang 'Think' in which film,Blues Brothers
General,"Who, alongside Frank Williams, was the co-founder of the Williams Formula One team?",Patrick Head
General,What is the architectural term for a representation of leaves at the top of a column?,Acanthus
Entertainment,What is the only X Rated film to have won the best film Oscar?,Midnight Cowboy
Music,"Who directed the film ""Let It Be""?",Michael Lindsay-Hogg
General,Long What was Dorothy's aunt's name in The Wizard of Oz,Aunt em
General,Which film director described actors as cattle,Alfred Hitchcock
Music,Prince & The Revolution Said Her Beret Was What Colour,Rasberry
